,run1 1 percent augmentation                                        ,run2 1 percent augmentation                                        ,run3 1 percent augmentation                                        ,run4 1 percent augmentation                                        ,run5 1 percent augmentation                                        ,average 1 percent augmentation                                        ,run1 5 percent augmentation,run2 5 percent augmentation,run3 5 percent augmentation,run4 5 percent augmentation,run5 5 percent augmentation,average 5 percent augmentation,run1 10 percent augmentation,run2 10 percent augmentation,run3 10 percent augmentation,run4 10 percent augmentation,run5 10 percent augmentation,average run5 10 percent augmentation,run1 25 percent augmentation,run2 25 percent augmentation,run3 25 percent augmentation,run4 25 percent augmentation,run5 25 percent augmentation,average 25 percent augmentation,run1 50 percent augmentation (weighted),run2 50 percent augmentation (weighted),run3 50 percent augmentation (weighted),run4 50 percent augmentation (weighted),run5 50 percent augmentation (weighted),average 50 percent augmentation (weighted),BASELINE_AVERAGES
weighted Recall minority,0.126984127,0.1558441558,0.1924882629,0.176,0.1253481894,0.1574440053,0.1394557823,0.2032520325,0.1546134663,0.1815789474,0.1256281407,0.15823153,0.1428571429,0.1841155235,0.1618257261,0.1344537815,0.1326860841,0.1506849315,0.1264108352,0.1546052632,0.1663286004,0.1266233766,0.1546391753,0.1470732907,0.1309904153,0.1855670103,0.1764705882,0.1560283688,0.1381818182,0.153078203,0.1530732861
"weighted ""00""",980,1005,856,994,886,944.2,947,1004,861,889,852,910.6,924,974,998,994,932,964.4,813,943,789,931,790,853.2,928,1042,934,843,726,894.6,913.4
"weighted ""01""",220,195,344,206,314,255.8,253,196,339,311,348,289.4,276,226,202,206,268,235.6,387,257,411,269,410,346.8,272,158,266,357,474,305.4,286.6
"weighted ""10""",168,164,118,156,155,152.2,159,150,138,131,150,145.6,154,149,161,168,159,158.2,144,153,118,161,125,140.2,159,164,143,134,124,144.8,148.2
"weighted ""11""",32,36,82,44,45,47.8,41,50,62,69,50,54.4,46,51,39,32,41,41.8,56,47,82,39,75,59.8,41,36,57,66,76,55.2,51.8
gpt2 Accuracy,0.7457,0.7714,0.7786,0.6607,0.6486,0.721,0.695,0.7307,0.695,0.7943,0.665,0.716,0.7693,0.7614,0.7821,0.7371,0.6914,0.74826,0.6279,0.7014,0.7321,0.6764,0.6629,0.68014,0.615,0.6514,0.6593,0.6421,0.5714,0.62784,
gpt2 Log-loss,1.3449,1.3687,1.2467,1.8602,1.6828,1.50066,1.5916,1.4681,1.6756,1.0421,1.474,1.45028,1.2753,1.0711,1.1898,1.5298,1.727,1.3586,1.7667,1.4701,1.2531,2.1059,1.7106,1.66128,2.0998,1.4475,1.9019,1.84,2.3936,1.93656,
gpt2 AUC-ROC,0.5156,0.5067,0.5766,0.5075,0.5292,0.52712,0.51,0.5618,0.512,0.5632,0.5578,0.54096,0.5085,0.6055,0.4568,0.5168,0.4857,0.51466,0.4833,0.5476,0.5316,0.5567,0.5378,0.5314,0.5132,0.6004,0.5389,0.5588,0.5145,0.54516,
gpt2 Precision,0.7478,0.7615,0.77,0.7586,0.7608,0.75974,0.7635,0.7841,0.7644,0.7675,0.7674,0.76938,0.7639,0.7905,0.749,0.7693,0.7583,0.7662,0.7532,0.7756,0.767,0.778,0.7721,0.76918,0.7623,0.7861,0.7643,0.784,0.7578,0.7709,
gpt2 Recall,0.7457,0.7714,0.7786,0.6607,0.6486,0.721,0.695,0.7307,0.695,0.7943,0.665,0.716,0.7693,0.7614,0.7821,0.7371,0.6914,0.74826,0.6279,0.7014,0.7321,0.6764,0.6629,0.68014,0.615,0.6514,0.6593,0.6421,0.5714,0.62784,
